,ID,nom_scientifique,nom_commun,citation_doris,lien_fiche_doris,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale
54,55,Chelon labrosus,Le mulet lippu," COUDRE Christian, LE GRANCHÉ Philippe, ANDRÉ Frédéric in : DORIS, 30/01/2021 : Chelon labrosus (Risso, 1827)",https://doris.ffessm.fr/ref/specie/1435,18,40.0,60,0.0,5.0,loin du fond,,,,,,,,,,,
55,56,Oedalechilus labeo,Le mulet labeon," DIDIERLAURENT Sylvie, COUDRE Christian in : DORIS, 11/02/2021 : Oedalechilus labeo (Cuvier, 1829)",https://doris.ffessm.fr/ref/specie/2596,18,18.0,25,0.0,10.0,loin du fond,,,,,,,,,,,
61,62,Atherina boyeri,Le joel," WACQUANT Claude, ROCHEFORT Gaël, LAMARE Véronique in : DORIS, 22/02/2021 : Atherina boyeri Risso, 1810",https://doris.ffessm.fr/ref/specie/945,19,8.0,10,0.0,3.0,loin du fond,,,,,,,,,,,
80,81,Pseudocaranx dentex,La carangue dentue," MODRAK Gaël, CARO Valérie, MENUT Thomas in : DORIS, 10/10/2022 : Pseudocaranx dentex (Bloch & Schneider, 1801)",https://doris.ffessm.fr/ref/specie/5649,20,50.0,60,10.0,50.0,loin du fond,,,,,,,,,,,
84,85,Trachinotus ovatus,La palomine," MODRAK Gaël, CARO Valérie, MENUT Thomas in : DORIS, 09/09/2022 : Trachinotus ovatus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/4352,20,35.0,50,1.0,10.0,loin du fond,,,,,,,,,,,
88,89,Seriola dumerili,La grande seriole," LESUR Nathalie, ZIEMSKI Frédéric in : DORIS, 12/12/2020 : Seriola dumerili (Risso, 1810)",https://doris.ffessm.fr/ref/specie/376,20,100.0,130,20.0,70.0,loin du fond,,,,,,,,,,,
97,98,Dicentrarchus labrax,Le bar commun," MARAN Vincent, GRIOCHE Alain, ZIEMSKI Frédéric in : DORIS, 08/11/2020 : Dicentrarchus labrax (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/407,23,70.0,80,1.0,30.0,loin du fond,,,,oui,,,,,,,
100,101,Sphyraena viridensis,La bécune bouche jaune," MALIET Vincent, KUPFER Michel in : DORIS, 13/07/2021 : Sphyraena viridensis Cuvier, 1829",https://doris.ffessm.fr/ref/specie/689,24,100.0,120,5.0,30.0,loin du fond,,,,,,,,,,,
118,119,Belone belone,L’orphie," PROUTEAU Laurence, PEAN Michel, GUICHARD Benjamin in : DORIS, 06/08/2022 : Belone belone (Linnaeus, 1760)",https://doris.ffessm.fr/ref/specie/1031,26,70.0,80,0.0,1.0,loin du fond,,,,,,,,,,,
174,175,Oblada melanurus,L’oblade," WACQUANT Claude, LAMARE Véronique in : DORIS, 17/04/2021 : Oblada melanura (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/720,44,15.0,20,0.0,10.0,près du fond,,,,,,,,,,,
175,176,Diplodus sargus,Le sar commun," LAMARE Véronique, PASTOR Jérémy in : DORIS, 23/01/2021 : Diplodus sargus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/463,44,20.0,30,1.0,40.0,près du fond,,,,,,,,,,,
176,177,Diplodus puntazzo,Le sar à museau pointu," LAMARE Véronique, PASTOR Jérémy in : DORIS, 09/08/2022 : Diplodus puntazzo (Walbaum, 1792)",https://doris.ffessm.fr/ref/specie/477,44,30.0,40,10.0,50.0,près du fond,,,,,,,,,,,
178,179,Diplodus vulgaris,Le sar à tête noire," HUSSON Georges, CASTILLO Jean-Pierre, PASTOR Jérémy, LAMARE Véronique in : DORIS, 07/08/2022 : Diplodus vulgaris (Geoffroy Saint Hilaire, 1817)",https://doris.ffessm.fr/ref/specie/161,44,20.0,30,2.0,50.0,près du fond,,,,,,,,,,,
179,180,Diplodus annularis,Le sparaillon," LAMARE Véronique, PASTOR Jérémy in : DORIS, 11/04/2021 : Diplodus annularis (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/487,44,15.0,18,1.0,20.0,près du fond,,,,,,,,,,,
182,183,Diplodus cervinus,Le sar à grosses lèvres," LAMARE Véronique, PASTOR Jérémy in : DORIS, 07/08/2022 : Diplodus cervinus (Lowe, 1838)",https://doris.ffessm.fr/ref/specie/471,44,40.0,45,10.0,50.0,près du fond,,,,,,,,,,,
189,190,Sparus auratus,La dorade royale," LAMARE Véronique, CASTILLO Jean-Pierre, PASTOR Jérémy in : DORIS, 02/10/2021 : Sparus aurata Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/465,44,50.0,60,10.0,30.0,près du fond,,,,oui,,,,,,,
190,191,Spondyliosoma cantharus,La canthare," LE BRIS Sylvain, PEAN Michel, GUICHARD Benjamin in : DORIS, 06/12/2022 : Spondyliosoma cantharus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/742,44,30.0,45,10.0,60.0,près du fond,,,,,,,,,,,
192,193,Dentex dentex,Le denté commun," VIGNAUD Thomas, PERRIER Philippe, PASTOR Jérémy, PEAN Michel in : DORIS, 25/11/2022 : Dentex dentex (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/258,44,50.0,70,15.0,50.0,près du fond,,,,,,,,,,,
198,199,Lithognathus mormyrus,Le marbré," DIDIERLAURENT Sylvie, LAMARE Véronique, PASTOR Jérémy in : DORIS, 07/08/2022 : Lithognathus mormyrus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/462,44,30.0,40,5.0,50.0,près du fond,,,,,,,,,,,
199,200,Sarpa salpa,La saupe," LESUR Nathalie, ZIEMSKI Frédéric, SITTLER Alain-Pierre in : DORIS, 08/11/2020 : Sarpa salpa (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/431,44,30.0,35,1.0,15.0,près du fond,,,,,,,,,,,
